trader_id,description,manufacturer_part_number,brand_name,address,products_img,madeIn,price,is_offer,offer_price,offer_start_date,offer_end_date,rating,review_count,type,is_best_seller,is_mobilawy,assembly_kit,product_line,frontOrRear,tyre_speed_rate,maximum_tyre_load,tyre_engraving,rim_diameter,tyre_height,tyre_width,kilometer,oil_type,battery_replacement_available,volt,ampere,liter,color,Number_spark_pulgs,created_at,businessCategories_id,enabled,products_name,warranty,disabled_at,updated_at,status,qtyInStock,deletedAt,Brand,Year,Model,first_img_src
16,"Cooling System ['JEEP', 'COMPASS', '2023-2024']",68453302AA,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___COMPASS___2.0L_L4_Turbocharged___Radiator_Fan_Assembly___68453302AA___54875.jpg,,Out of Stock,0,0,,,0,0,none,0,0,1,,,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Radiator Fan Assembly,,,,Accepted,500,,JEEP,2023,COMPASS,https://www.rockauto.com/info/162/MR_68453302AA_Ang__ra_m.jpg
16,"Brake & Wheel Hub ['JEEP', 'CHEROKEE', '2015-2023']",1400184301,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___CHEROKEE___2.0L_L4_Turbocharged___Brake_Pad___1400184301___37986.jpg,,42,0,0,,,0,0,"Heavy Duty (Long Life, Truck & Tow) ",0,0,1,,,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2021,CHEROKEE,https://www.rockauto.com/info/1100/xxxx-1843-01_v1_1__ra_m.jpg
16,"Brake & Wheel Hub ['', '', '']",68523693AA,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___CHEROKEE___2.0L_L4_Turbocharged___Brake_Pad___68523693AA___16951.jpg,,113,0,0,,,0,0,Daily Driver ,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2021,CHEROKEE,https://www.rockauto.com/info/162/i2560609_7__ra_m.jpg
16,"Brake & Wheel Hub ['JEEP', 'CHEROKEE', '2014-2023']",68459898AB,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___CHEROKEE___2.0L_L4_Turbocharged___Brake_Pad___68459898AB___41125.jpg,,114,0,0,,,0,0,Daily Driver ,0,0,1,,Front,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2021,CHEROKEE,https://www.rockauto.com/info/162/i2561479_8__ra_m.jpg
16,"Body & Lamp Assembly ['DODGE', 'DURANGO', '2011-2023', 'JEEP', 'GRAND CHEROKEE', '2011-2021']",4344HRSG,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Outside_Mirror_Glass___4344HRSG___14694.jpg,,36,0,0,,,0,0,Glass And Backing Plate ,0,0,1,,Left,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Outside Mirror Glass,,,,Accepted,500,,JEEP,2016,GRAND CHEROKEE,https://www.rockauto.com/info/1123/4344HRSG__ra_m.jpg
16,"Body & Lamp Assembly ['DODGE', 'DURANGO', '2011-2023', 'JEEP', 'GRAND CHEROKEE', '2011-2022']",5416HRSG,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Outside_Mirror_Glass___5416HRSG___75609.jpg,,39,0,0,,,0,0,Glass And Backing Plate ,0,0,1,,Right,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Outside Mirror Glass,,,,Accepted,500,,JEEP,2016,GRAND CHEROKEE,https://www.rockauto.com/info/1123/5416HRSG__ra_m.jpg
16,"Body & Lamp Assembly ['DODGE', 'DURANGO', '2011-2023', 'JEEP', 'GRAND CHEROKEE', '2011-2022']",68082635AA,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Outside_Mirror_Glass___68082635AA___90099.jpg,,228,0,0,,,0,0,Glass And Backing Plate ,0,0,1,,,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Outside Mirror Glass,,,,Accepted,500,,JEEP,2016,GRAND CHEROKEE,https://www.rockauto.com/info/162/i2341073_2__ra_m.jpg
16,"Brake & Wheel Hub ['DODGE', 'CALIBER', '2007-2008', 'JEEP', 'COMPASS', '2007-2017', 'JEEP', 'PATRIOT', '2007-2017']",V33720060,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___PATRIOT___2.0L_L4___ABS_Wheel_Speed_Sensor___V33720060___32117.jpg,,33,0,0,,,0,0,Economy ,0,0,1,,Rear Right,,,,,,,0,,0,,,0,,,14/08/2024,1,1,ABS Wheel Speed Sensor,,,,Accepted,500,,JEEP,2014,PATRIOT,https://www.rockauto.com/info/1092/V33-72-0060_02__ra_m.jpg
16,"Brake & Wheel Hub ['DODGE', 'CALIBER', '2007-2008', 'JEEP', 'COMPASS', '2007-2017', 'JEEP', 'PATRIOT', '2007-2017']",V33720026,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___PATRIOT___2.0L_L4___ABS_Wheel_Speed_Sensor___V33720026___58128.jpg,,30,0,0,,,0,0,Economy ,0,0,1,,Rear Left,,,,,,,0,,0,,,0,,,14/08/2024,1,1,ABS Wheel Speed Sensor,,,,Accepted,500,,JEEP,2014,PATRIOT,https://www.rockauto.com/info/1092/V33-72-0026_02__ra_m.jpg
16,"Brake & Wheel Hub ['DODGE', 'CALIBER', '2007-2012', 'JEEP', 'COMPASS', '2007-2017', 'JEEP', 'PATRIOT', '2007-2017']",V33720028,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___PATRIOT___2.0L_L4___ABS_Wheel_Speed_Sensor___V33720028___69250.jpg,,27,0,0,,,0,0,Economy ,0,0,1,,Front Left,,,,,,,0,,0,,,0,,,14/08/2024,1,1,ABS Wheel Speed Sensor,,,,Accepted,500,,JEEP,2014,PATRIOT,https://www.rockauto.com/info/1092/V33-72-0028_02__ra_m.jpg
