brand,year,model,elem_X,elem_XX,part_name
VOLVO,2023,V60,2.0L L4 ELECTRIC/GAS Turbocharged,Electrical,Battery
VOLVO,2023,V60,2.0L L4 Turbocharged,Electrical,Battery
VOLVO,2021,XC40,1.5L L3 ELECTRIC/GAS Turbocharged,Suspension,Shock / Strut
VOLVO,2021,S60,2.0L L4 ELECTRIC/GAS Turbocharged,Electrical,Battery Cable
VOLVO,2021,S60,2.0L L4 Turbocharged,Electrical,Battery Cable
VOLVO,2016,S80,2.0L L4 Turbocharged,Electrical,Battery Cable
VOLVO,2015,V40,1.6L L4 DIESEL Turbocharged,Electrical,Battery
VOLVO,2012,XC70,3.0L L6 Turbocharged,Literature,Repair Manual
VOLVO,2012,XC70,3.0L L6 Turbocharged,Electrical,Battery Cable
VOLVO,2012,S40,2.5L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2011,C30,1.6L L4,Electrical,Battery
VOLVO,2011,XC60,3.0L L6 Turbocharged,Electrical,Battery Cable
VOLVO,2011,XC60,3.0L L6 Turbocharged,Suspension,Suspension Kit
VOLVO,2010,XC90,3.2L L6,Brake & Wheel Hub,Brake Pad
VOLVO,2010,C30,2.4L L5,Electrical,Battery Cable
VOLVO,2010,XC60,3.0L L6 Turbocharged,Electrical,Battery Cable
VOLVO,2009,C70,2.5L L5 Turbocharged,Brake & Wheel Hub,Brake Pad
VOLVO,2009,C30,2.4L L5,Electrical,Battery Cable
VOLVO,2009,C30,2.4L L5,Engine,Crankshaft Main Bearing
VOLVO,2008,C30,2.4L L5,Electrical,Battery Cable
VOLVO,2008,C70,2.5L L5 Turbocharged,Electrical,Battery Cable
VOLVO,2008,V70,3.2L L6,Electrical,Battery Cable
VOLVO,2012,XC70,3.0L L6 Turbocharged,Brake & Wheel Hub,Rotor
VOLVO,2008,XC90,3.2L L6,Electrical,Battery Cable
VOLVO,2008,C30,2.4L L5,Engine,Crankshaft Main Bearing
VOLVO,2008,C70,2.5L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2008,V70,3.2L L6,Engine,Oil
VOLVO,2008,XC90,3.2L L6,Literature,Repair Manual
VOLVO,2012,XC70,3.2L L6,Brake & Wheel Hub,Brake Pad
VOLVO,2007,S40,2.4L L5,Brake & Wheel Hub,Brake Pad
VOLVO,2007,V50,2.4L L5,Electrical,Battery Cable
VOLVO,2007,S60,2.4L L5 Turbocharged,Electrical,Battery Cable
VOLVO,2007,V50,2.4L L5,Engine,Crankshaft Main Bearing
VOLVO,2007,S60,2.4L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2007,XC90,3.2L L6,Brake & Wheel Hub,Brake Pad
VOLVO,2006,S80,2.5L L5 Turbocharged,Electrical,Battery Cable
VOLVO,2006,S80,2.5L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2006,S40,2.4L L5,Brake & Wheel Hub,Brake Pad
VOLVO,2006,C70,2.5L L5 Turbocharged,Electrical,Battery Cable
VOLVO,2006,S60,2.4L L5 Turbocharged,Electrical,Battery Cable
VOLVO,2006,C70,2.5L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2006,S60,2.4L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2005,S40,2.4L L5,Electrical,Battery Cable
VOLVO,2005,V70,2.4L L5,Electrical,Battery Cable
VOLVO,2005,S60,2.3L L5 Turbocharged,Engine,Crankshaft Main Bearing
VOLVO,2005,S40,2.4L L5,Engine,Crankshaft Main Bearing
VOLVO,2005,S60,2.3L L5 Turbocharged,Literature,Repair Manual
VOLVO,2005,V70,2.4L L5,Engine,Crankshaft Main Bearing
VOLVO,2005,S60,2.3L L5 Turbocharged,Suspension,Suspension Kit
VOLKSWAGEN,2024,TAIGUN,999cc L3 Turbocharged,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2024,SAVEIRO,1.6L L4,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2024,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2024,VIRTUS,1.6L L4,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2024,VIRTUS,999cc L3 Turbocharged,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2023,CADDY,1.6L L4,Electrical,Battery
VOLKSWAGEN,2023,VIRTUS,1.6L L4,Electrical,Battery
VOLKSWAGEN,2023,TERAMONT,2.0L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2023,VIRTUS,999cc L3 Turbocharged,Electrical,Battery
VOLKSWAGEN,2023,TERAMONT,3.6L V6,Electrical,Battery
VOLKSWAGEN,2022,TERAMONT,2.0L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2022,VIRTUS,1.6L L4,Electrical,Battery
VOLKSWAGEN,2022,GTI,2.0L L4 Turbocharged,Electrical,Battery Cable
VOLKSWAGEN,2021,TERAMONT,2.0L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2021,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2021,TIGUAN,1.4L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2020,VIRTUS,1.6L L4,Electrical,Battery
VOLKSWAGEN,2020,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2019,CRAFTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2019,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2019,TERAMONT,2.0L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2019,TIGUAN,1.4L L4 Turbocharged,,
VOLKSWAGEN,2018,AMAROK,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2018,CRAFTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2018,CADDY,1.6L L4,Electrical,Battery
VOLKSWAGEN,2018,UP!,999cc L3,Engine,Piston Ring
VOLKSWAGEN,2017,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2017,CADDY,1.2L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2017,CRAFTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2017,AMAROK,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2017,POLO,1.2L L4 Turbocharged,Engine,Piston Ring
VOLKSWAGEN,2016,NUEVO GOL,1.6L L4,Electrical,Battery
VOLKSWAGEN,2016,AMAROK,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2016,CROSSFOX,1.6L L4,Electrical,Battery
VOLKSWAGEN,2015,CRAFTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2014,NUEVO GOL,1.6L L4,Electrical,Battery
VOLKSWAGEN,2014,VENTO,1.6L L4,Engine,Piston Ring
VOLKSWAGEN,2013,TOUAREG,3.0L V6 DIESEL Turbocharged,Electrical,Battery Cable
VOLKSWAGEN,2013,TOUAREG,3.0L V6 DIESEL Turbocharged,Wheel,Lug Nut Lock Set
VOLKSWAGEN,2013,TOUAREG,3.0L V6 DIESEL Turbocharged,Engine,Crankshaft Main Bearing
VOLKSWAGEN,2013,GOL SEDAN,1.6L L4,Electrical,Battery
VOLKSWAGEN,2013,TOUAREG,3.0L V6 DIESEL Turbocharged,Engine,Piston Ring
VOLKSWAGEN,2012,CROSSFOX,1.6L L4,Electrical,Battery
VOLKSWAGEN,2012,TRANSPORTER,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2011,JETTA,1.4L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2011,CRAFTER VAN,2.5L L5 DIESEL Turbocharged DOHC,Electrical,Battery
VOLKSWAGEN,2011,JETTA,1.4L L4 Turbocharged,Literature,Repair Manual
VOLKSWAGEN,2011,CROSSFOX,1.6L L4,Electrical,Battery
VOLKSWAGEN,2011,CRAFTER VAN,2.5L L5 DIESEL Turbocharged DOHC,Engine,Piston Ring
VOLKSWAGEN,2011,AMAROK,2.0L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2011,GOL SEDAN,1.6L L4,Electrical,Battery
VOLKSWAGEN,2011,BEETLE,2.0L L4,Electrical,Battery Cable
VOLKSWAGEN,2011,CLASICO,1.8L L4 Turbocharged,Engine,Piston Ring
VOLKSWAGEN,2010,JETTA,1.4L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2010,SPORTVAN,1.6L L4,Electrical,Battery
VOLKSWAGEN,2013,TOUAREG,3.0L V6 ELECTRIC/GAS Supercharged,Brake & Wheel Hub,Rotor
VOLKSWAGEN,2010,CRAFTER,2.5L L5 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2010,GLI,2.0L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2010,POINTER TRUCK,1.8L L4,Electrical,Battery
VOLKSWAGEN,2013,TOUAREG,3.6L V6,Brake & Wheel Hub,Rotor
VOLKSWAGEN,2010,CRAFTER,2.5L L5 DIESEL Turbocharged,Engine,Piston Ring
VOLKSWAGEN,2010,GLI,2.0L L4 Turbocharged,Engine,Connecting Rod Bearing
VOLKSWAGEN,2010,GLI,2.0L L4 Turbocharged,Engine,Crankshaft Main Bearing
VOLKSWAGEN,2010,POINTER TRUCK,1.8L L4,Engine,Piston Ring
VOLKSWAGEN,2009,CROSSFOX,1.6L L4,Electrical,Battery
VOLKSWAGEN,2009,VAN,1.8L L4,Electrical,Battery
VOLKSWAGEN,2009,VAN,1.8L L4,Engine,Crankshaft Main Bearing
VOLKSWAGEN,2009,RABBIT,2.5L L5,Suspension,Coil Spring Seat / Insulator
VOLKSWAGEN,2008,EUROVAN,1.9L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2009,RABBIT,2.5L L5,Engine,Piston Ring
VOLKSWAGEN,2007,JETTA,1.4L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2007,EUROVAN,1.9L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2007,VAN,1.8L L4,Electrical,Battery
VOLKSWAGEN,2007,POINTER TRUCK,1.8L L4,Electrical,Battery
VOLKSWAGEN,2009,RABBIT,2.5L L5,Brake & Wheel Hub,Rotor & Brake Pad Kit
VOLKSWAGEN,2006,EUROVAN,1.9L L4 DIESEL Turbocharged,Electrical,Battery
VOLKSWAGEN,2006,DERBY,1.8L L4,Engine,Crankshaft Main Bearing
VOLKSWAGEN,2005,PASSAT,1.8L L4 Turbocharged,Electrical,Battery Cable
VOLKSWAGEN,2005,PASSAT,1.8L L4 Turbocharged,Suspension,Electronic Suspension Control Module
VOLKSWAGEN,2005,SHARAN,1.8L L4 Turbocharged,Electrical,Battery
VOLKSWAGEN,2005,POLO,1.6L L4,Suspension,Shock / Strut
TOYOTA,2024,AVANZA,1.5L L4,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2005,SHARAN,1.8L L4 Turbocharged,Wheel,Lug Nut Lock Set
TOYOTA,2024,HIACE,2.8L L4 DIESEL Turbocharged,Cooling System,Coolant / Antifreeze
VOLKSWAGEN,2005,PASSAT,1.8L L4 Turbocharged,Suspension,Suspension Kit
TOYOTA,2024,HIACE,3.5L V6,Cooling System,Coolant / Antifreeze
TOYOTA,2024,RAIZE,998cc L3 Turbocharged,Cooling System,Coolant / Antifreeze
TOYOTA,2024,SUPRA,3.0L L6 Turbocharged,Cooling System,Coolant / Antifreeze
TOYOTA,2024,LAND CRUISER,2.4L L4 ELECTRIC/GAS Turbocharged,Wiper & Washer,
TOYOTA,2024,CROWN,2.4L L4 ELECTRIC/GAS Turbocharged,Wiper & Washer,
TOYOTA,2023,GR SUPRA,2.0L L4 Turbocharged,Electrical-Connector,Radio Connector
VOLKSWAGEN,2013,TOUAREG,4.2L V8,Electrical-Switch & Relay,Dimmer Switch
TOYOTA,2023,MIRAI,ELECTRIC,Electrical-Connector,Radio Connector
TOYOTA,2023,GR86,2.4L H4,Electrical-Connector,Radio Connector
VOLKSWAGEN,2005,PASSAT,1.8L L4 Turbocharged,Brake & Wheel Hub,Rotor
TOYOTA,2023,GR SUPRA,2.0L L4 Turbocharged,Suspension,Shock / Strut
TOYOTA,2023,HIGHLANDER,2.4L L4 Turbocharged,Electrical-Connector,Radio Connector
TOYOTA,2022,YARIS,1.5L L4,Engine,Crankshaft Main Bearing
TOYOTA,2022,GR SUPRA,2.0L L4 Turbocharged,Electrical-Connector,Radio Connector
TOYOTA,2022,GR SUPRA,2.0L L4 Turbocharged,Electrical,Battery Cable
TOYOTA,2022,GR86,2.4L H4,Electrical-Connector,Radio Connector
TOYOTA,2022,MIRAI,ELECTRIC,Electrical-Connector,Radio Connector
TOYOTA,2022,GR86,2.4L H4,Electrical,Battery Cable
TOYOTA,2022,GR86,2.4L H4,Suspension,Suspension Kit
TOYOTA,2022,PRIUS PRIME,1.8L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2022,HIGHLANDER,2.5L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2022,PRIUS PRIME,1.8L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2022,HIGHLANDER,2.5L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2022,PRIUS,1.8L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2022,PRIUS,1.8L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2022,TACOMA,2.7L L4,Body & Lamp Assembly,Tool Box
TOYOTA,2022,TUNDRA,3.5L V6 Turbocharged,Electrical-Connector,Radio Connector
TOYOTA,2021,4RUNNER,4.0L V6,Body & Lamp Assembly,Body Mount
TOYOTA,2021,MIRAI,ELECTRIC,Electrical-Connector,Radio Connector
TOYOTA,2021,PRIUS C,1.5L L4 ELECTRIC/GAS,Engine,Crankshaft Main Bearing
TOYOTA,2021,YARIS,1.5L L4,Engine,Crankshaft Main Bearing
TOYOTA,2021,PRIUS PRIME,1.8L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2021,PRIUS,1.8L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2021,PRIUS PRIME,1.8L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2021,HIGHLANDER,2.5L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2021,VENZA,2.5L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2021,VENZA,2.5L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2021,PRIUS,1.8L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2021,RAV4,2.5L L4,Electrical,Battery Cable
TOYOTA,2021,VENZA,2.5L L4 ELECTRIC/GAS,Interior,Seat Cover
TOYOTA,2020,AVANZA,1.5L L4,Electrical,Battery
TOYOTA,2020,4RUNNER,4.0L V6,Body & Lamp Assembly,Body Mount
TOYOTA,2020,PRIUS C,1.5L L4 ELECTRIC/GAS,Engine,Crankshaft Main Bearing
TOYOTA,2020,MIRAI,ELECTRIC,Electrical-Connector,Radio Connector
TOYOTA,2020,AVALON,2.5L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2020,AVALON,2.5L L4 ELECTRIC/GAS,Electrical-Connector,Park Assist (PAS) Camera Connector
TOYOTA,2020,AVALON,2.5L L4 ELECTRIC/GAS,Electrical-Connector,Radio Connector
TOYOTA,2020,HIGHLANDER,2.5L L4 ELECTRIC/GAS,Electrical,Battery Cable
TOYOTA,2019,AVANZA,1.5L L4,Electrical,Battery
TOYOTA,2019,4RUNNER,4.0L V6,Body & Lamp Assembly,Body Mount
TOYOTA,2019,TUNDRA,4.6L V8,Electrical,Battery Cable
TOYOTA,2019,TUNDRA,4.6L V8,Interior,Seat Cover
TOYOTA,2019,MIRAI,ELECTRIC,Electrical,Battery
TOYOTA,2019,TUNDRA,4.6L V8,Wheel,Lug Nut & Lock Kit
TOYOTA,2019,TUNDRA,4.6L V8,Electrical-Connector,Park Assist (PAS) Camera Connector
TOYOTA,2019,TUNDRA,4.6L V8,Drivetrain,Differential Ring and Pinion
TOYOTA,2019,TUNDRA,4.6L V8,Electrical-Connector,Radio Connector
TOYOTA,2019,TUNDRA,4.6L V8,Wiper & Washer,Wiper Blade
TOYOTA,2019,MIRAI,ELECTRIC,Electrical-Connector,Park Assist (PAS) Camera Connector
TOYOTA,2019,MIRAI,ELECTRIC,Electrical-Connector,Radio Connector
TOYOTA,2019,TUNDRA,4.6L V8,Suspension,Shock / Strut Bellow
TOYOTA,2018,AVALON,2.5L L4,Brake & Wheel Hub,Rotor
TOYOTA,2018,AVALON,2.5L L4,Electrical,Battery
TOYOTA,2018,AVANZA,1.5L L4,Electrical,Battery
TOYOTA,2019,TUNDRA,4.6L V8,Engine,Piston Ring
