trader_id,description,manufacturer_part_number,brand_name,address,products_img,madeIn,price,is_offer,offer_price,offer_start_date,offer_end_date,rating,review_count,type,is_best_seller,is_mobilawy,assembly_kit,product_line,frontOrRear,tyre_speed_rate,maximum_tyre_load,tyre_engraving,rim_diameter,tyre_height,tyre_width,kilometer,oil_type,battery_replacement_available,volt,ampere,liter,color,Number_spark_pulgs,created_at,businessCategories_id,enabled,products_name,warranty,disabled_at,updated_at,status,qtyInStock,deletedAt,Brand,Year,Model,first_img_src
16,"Brake & Wheel Hub ['JEEP', 'CHEROKEE', '2014-2023']",WBVH142012,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___CHEROKEE___2.0L_L4_Turbocharged___Rotor___Brake_Pad_Kit___WBVH142012___23027.jpg,,124,0,0,,,0,0,Fully Coated (Maximum Protection For Rust Prone Areas) ,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Rotor & Brake Pad Kit,,,,Accepted,500,,JEEP,2023,CHEROKEE,https://www.rockauto.com/catalog/kitcollage.php?pk=14162969&size=Thumb
16,"Brake & Wheel Hub ['JEEP', 'CHEROKEE', '2015-2023']",WBVH242007,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___CHEROKEE___2.0L_L4_Turbocharged___Rotor___Brake_Pad_Kit___WBVH242007___53918.jpg,,284,0,0,,,0,0,Fully Coated (Maximum Protection For Rust Prone Areas) ,0,0,1,,Front,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Rotor & Brake Pad Kit,,,,Accepted,500,,JEEP,2023,CHEROKEE,https://www.rockauto.com/catalog/kitcollage.php?pk=14317005&size=Thumb
16,"Drivetrain ['JEEP', 'COMPASS', '2017-2022']",SL260531,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",,,Out of Stock,0,0,,,0,0,none,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Axle Shaft Seal,,,,Accepted,500,,JEEP,2021,COMPASS,
16,"Brake & Wheel Hub ['CADILLAC', 'CTS', '2004-2019', 'CADILLAC', 'STS', '2005-2011', 'CHEVROLET', 'CAMARO', '2010-2023', 'CHEVROLET', 'SS', '2015-2017', 'CHRYSLER', '300', '2005-2020', 'DODGE', 'CHALLENGER', '2008-2021', 'DODGE', 'CHARGER', '2006-2021', 'DODGE', 'DURANGO', '2018-2021', 'DODGE', 'MAGNUM', '2006-2008', 'HYUNDAI', 'GENESIS COUPE', '2010-2016', 'JEEP', 'GRAND CHEROKEE', '2006-2021', 'TESLA', 'S', '2012-2021', 'TESLA', 'X', '2016-2021']",ASP1053,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Brake_Pad___ASP1053___19320.jpg,,37,0,0,,,0,0,High Performance ,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2020,GRAND CHEROKEE,https://www.rockauto.com/info/40/ASP1053__ra_m.jpg
16,"Brake & Wheel Hub ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",68399095AC,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Brake_Pad___68399095AC___80925.jpg,,332,0,0,,,0,0,Daily Driver ,0,0,1,,Front,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2020,GRAND CHEROKEE,https://www.rockauto.com/info/162/MR_68399095AC_Ang__ra_m.jpg
16,"Brake & Wheel Hub ['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",68399102AA,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.0L_V6_DIESEL_Turbocharged___Brake_Pad___68399102AA___88100.jpg,,203,0,0,,,0,0,Daily Driver ,0,0,1,,,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2020,GRAND CHEROKEE,https://www.rockauto.com/info/162/MR_68399102AA_Ang__ra_m.jpg
16,"Brake & Wheel Hub ['FIAT', '500X', '2016-2018', 'JEEP', 'RENEGADE', '2015-2018']",68420214AA,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___RENEGADE___1.4L_L4_Turbocharged___ABS_Hydraulic_Unit___68420214AA___36262.jpg,,Out of Stock,0,0,,,0,0,none,0,0,1,,,,,,,,,0,,0,,,0,,,14/08/2024,1,1,ABS Hydraulic Unit,,,,Accepted,500,,JEEP,2017,RENEGADE,https://www.rockauto.com/info/162/i2358986_1__ra_m.jpg
16,"Brake & Wheel Hub ['JEEP', 'COMMANDER', '2006-2010', 'JEEP', 'GRAND CHEROKEE', '2005-2010']",Z261087,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.7L_V6___Brake_Pad___Z261087___60390.jpg,,49,0,0,,,0,0,High Performance ,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2006,GRAND CHEROKEE,https://www.rockauto.com/info/568/Z26-1087__ra_m.jpg
16,"Brake & Wheel Hub ['', '', '', '', '', '']",5080868AC,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___GRAND_CHEROKEE___3.7L_V6___Brake_Pad___5080868AC___32512.jpg,,61,0,0,,,0,0,Daily Driver ,0,0,1,,Front,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Brake Pad,,,,Accepted,500,,JEEP,2006,GRAND CHEROKEE,https://www.rockauto.com/info/162/MR_05080868AC_Ang__ra_m.jpg
16,"Brake & Wheel Hub ['JEEP', 'WRANGLER', '2018-2024']",AR8389XPR,JEEP,"[{""address"":""Acura Almulla, Car Dealer Rd, Kuwait"",""location"":""https://maps.app.goo.gl/J3oPuFs33svZGpK89""}]",images_2/JEEP/JEEP___WRANGLER___2.0L_L4_ELECTRIC_GAS_Turbocharged___Rotor___AR8389XPR___39377.jpg,,137,0,0,,,0,0,High Performance ,0,0,1,,Rear,,,,,,,0,,0,,,0,,,14/08/2024,1,1,Rotor,,,,Accepted,500,,JEEP,2023,WRANGLER,https://www.rockauto.com/info/568/AR8389XPR__ra_m.jpg
